ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
22,Louisiana,LA,22001,Acadia Parish,22001,"Acadia Parish, Louisiana",655.243593346926,57674,0,25030,50,21388,472,20343,1843,2179,502,5056,622,7573,736,3639,700,9048,65,14909,70,11208,965,2006,427,234,180,13261,79,689,246,3831,485,534,209,1976,396,909,48,35.9,3.2,8.8,2.0,23.6,2.9,19.9,2.0,6.4,1.2,15.7,0.1,25.9,0.1,19.7,1.7,9.4,2.0,0.4,0.3,23.0,0.1,2.8,1.0,15.3,1.9,2.5,1.0,9.2,1.8,1.6,0.1,0.6508,0.7937,0.5873,0.7302,0.127,2.889,0.6508,0.3175,0.9524,0.746,0.6349,0.2222,2.873,0.7619,0.0952,0.0952,0.0952,0.6032,0.2381,0.5873,0.6984,0.3333,2.4603,0.4921,8.3175,0.6032,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,49107,4556,656,9511,508,1780,0,95,62,13,20,0,33,1822,543,40,47,21.3,3.1,16.5,0.9,3.1,0.0,0.2,0.1,0.0,0.1,0.0,0.1,3.2,0.9,0.1,0.1
22,Louisiana,LA,22003,Allen Parish,22003,"Allen Parish, Louisiana",762.08381097964,22798,0,9532,44,7636,237,5454,822,758,239,1364,281,3234,476,1471,342,3422,38,5227,22,3786,492,640,179,612,170,6834,274,41,35,1573,275,320,137,623,215,3541,106,28.8,4.3,8.9,2.9,17.9,3.6,20.4,3.0,7.6,1.8,15.0,0.2,22.9,0.1,19.7,2.6,8.4,2.3,2.9,0.8,30.0,1.2,0.5,0.4,16.5,2.9,4.2,1.8,8.2,2.8,15.5,0.5,0.381,0.8254,0.2063,0.8095,0.3968,2.619,0.5397,0.2063,0.3968,0.746,0.5397,0.9524,2.8412,0.746,0.1905,0.1905,0.1905,0.2063,0.3333,0.9048,0.5079,0.9365,2.8888,0.7937,8.5395,0.619,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,3,21410,1841,336,3962,202,1460,163,164,28,371,110,0,26,858,345,19,29,24.1,4.4,17.4,0.9,6.4,0.7,0.7,0.1,1.6,0.5,0.0,0.2,3.8,1.5,0.1,0.1
22,Louisiana,LA,22005,Ascension Parish,22005,"Ascension Parish, Louisiana",289.96971399884,126973,0,49998,45,46040,590,20242,2135,2979,640,7924,966,9329,1071,8039,1039,15759,113,33567,0,15453,1368,3580,624,1857,381,42741,399,2109,574,7777,879,969,229,1718,396,856,26,16.1,1.7,4.5,1.0,17.2,2.1,11.2,1.3,6.4,0.8,12.4,0.1,26.4,0.0,12.3,1.1,7.8,1.4,1.6,0.3,33.7,0.3,4.2,1.1,15.6,1.8,2.1,0.5,3.7,0.9,0.7,0.0,0.0,0.127,0.127,0.1111,0.127,0.4921,0.0159,0.0159,0.9841,0.0159,0.4127,0.7937,2.2223,0.3651,0.254,0.254,0.254,0.7302,0.254,0.4444,0.0476,0.0635,1.5397,0.0952,4.5081,0.0159,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,110272,4436,546,28849,790,7829,0,1428,239,251,127,97,123,3604,795,683,388,9.6,1.2,22.7,0.6,6.2,0.0,1.1,0.2,0.2,0.1,0.1,0.1,2.8,0.6,0.5,0.3
22,Louisiana,LA,22007,Assumption Parish,22007,"Assumption Parish, Louisiana",344.020726803716,21067,0,10032,32,8368,285,6225,862,744,243,1474,334,3094,393,1827,382,4090,144,4423,31,3546,478,610,214,79,114,7353,55,46,49,3385,406,189,84,757,234,168,12,29.7,4.1,8.0,2.6,17.6,3.9,20.9,2.8,8.7,1.8,19.4,0.7,21.0,0.1,17.0,2.3,7.3,2.5,0.4,0.6,34.9,0.3,0.4,0.5,33.7,4.0,2.2,1.0,9.0,2.8,0.8,0.1,0.4286,0.7143,0.1905,0.8413,0.746,2.9207,0.6825,0.8413,0.1587,0.5397,0.2222,0.2222,1.9841,0.2222,0.3492,0.3492,0.3492,0.127,0.9048,0.4603,0.6349,0.0952,2.2222,0.3016,7.4762,0.4127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14291,2039,353,6091,194,714,0,88,114,98,41,0,26,346,156,16,27,24.4,4.2,28.9,0.9,3.4,0.0,0.4,0.5,0.5,0.2,0.0,0.2,1.6,0.7,0.1,0.1
22,Louisiana,LA,22009,Avoyelles Parish,22009,"Avoyelles Parish, Louisiana",831.941947386974,39529,0,18261,62,14600,437,15059,1316,1197,294,4056,501,5920,577,2877,502,6828,87,9348,54,8591,892,1691,278,194,160,14060,195,226,114,3546,385,289,115,1439,297,3215,81,41.4,3.6,7.5,1.9,27.8,3.3,22.0,2.2,7.9,1.4,17.3,0.2,23.6,0.1,23.6,2.4,11.6,1.9,0.5,0.4,35.6,0.5,1.2,0.6,19.4,2.1,2.0,0.8,9.9,2.0,8.1,0.2,0.8254,0.6508,0.8413,0.9365,0.4762,3.7302,0.9048,0.5873,0.5079,0.9365,0.9048,0.3492,3.2857,0.8889,0.3968,0.3968,0.3968,0.3016,0.4444,0.3492,0.7619,0.8413,2.6984,0.6667,10.1111,0.8889,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,34174,3748,444,10079,571,870,0,251,39,304,130,12,17,2497,662,47,51,25.7,2.8,25.5,1.4,2.2,0.0,0.6,0.1,0.8,0.3,0.0,0.1,6.3,1.7,0.1,0.1
22,Louisiana,LA,22011,Beauregard Parish,22011,"Beauregard Parish, Louisiana",1157.476958310682,36553,0,15802,82,13587,376,7865,1045,1275,313,1715,244,2875,377,2810,556,5746,62,9144,0,6406,521,831,198,70,111,7615,230,166,81,4758,494,379,132,740,158,601,135,22.0,2.9,8.1,1.9,12.6,1.8,11.8,1.5,7.9,1.6,15.7,0.2,25.0,0.0,18.0,1.5,6.1,1.4,0.2,0.3,20.8,0.6,1.0,0.5,30.1,3.1,2.7,1.0,5.4,1.2,1.6,0.4,0.0794,0.746,0.0317,0.2063,0.4762,1.5396,0.1905,0.3175,0.7937,0.6825,0.1111,0.1429,2.0477,0.2857,0.0635,0.0635,0.0635,0.2698,0.8254,0.746,0.1905,0.3333,2.365,0.3968,6.0158,0.1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29829,1604,240,4148,203,1448,0,242,35,60,38,13,32,1458,275,246,139,11.8,1.7,11.3,0.6,4.0,0.0,0.7,0.1,0.2,0.1,0.0,0.1,4.0,0.8,0.7,0.4
22,Louisiana,LA,22013,Bienville Parish,22013,"Bienville Parish, Louisiana",811.343313408596,12958,0,6907,33,5375,196,5929,443,267,96,1430,250,1306,191,1143,285,2706,19,2903,17,2596,279,544,121,68,107,6025,86,81,53,2103,200,269,89,696,142,323,10,46.9,3.5,5.6,2.1,26.6,4.5,14.3,2.1,9.0,2.3,20.9,0.1,22.4,0.1,20.6,2.2,10.1,2.2,0.6,0.9,46.5,0.7,1.2,0.8,30.4,2.9,5.0,1.6,12.9,2.7,2.5,0.1,0.9524,0.3016,0.7619,0.4127,0.8095,3.2381,0.7937,0.9365,0.3175,0.873,0.7937,0.381,3.3017,0.9048,0.746,0.746,0.746,0.3016,0.8413,0.9365,0.9683,0.4603,3.508,0.9524,10.7938,0.9206,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,2,4,11599,1892,182,5396,94,285,0,5,5,28,31,0,22,246,88,65,74,35.2,3.5,41.6,0.7,2.2,0.0,0.0,0.1,0.2,0.2,0.0,0.3,1.9,0.7,0.5,0.6
22,Louisiana,LA,22015,Bossier Parish,22015,"Bossier Parish, Louisiana",839.5755364381,128877,0,55638,64,48651,712,32641,2234,3176,583,12857,1155,8381,825,11627,1159,19042,152,31739,0,16315,1443,3819,544,2340,498,46341,1192,3391,487,6758,751,957,324,2967,466,2176,83,25.8,1.8,5.6,1.0,26.4,2.3,9.7,1.0,9.4,0.9,14.8,0.1,24.6,0.0,13.2,1.2,7.8,1.1,1.9,0.4,36.0,0.9,6.1,0.9,12.1,1.4,2.0,0.7,6.1,1.0,1.7,0.1,0.2222,0.3016,0.746,0.0476,0.873,2.1904,0.3333,0.1746,0.7302,0.0635,0.4127,0.8889,2.2699,0.3968,0.4762,0.4762,0.4762,0.8413,0.1429,0.3492,0.2698,0.3651,1.9683,0.1746,6.9048,0.3016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120869,11208,1007,30369,323,8914,0,2524,245,447,168,9,13,3739,1249,339,249,23.0,2.0,23.6,0.3,6.9,0.0,2.0,0.2,0.3,0.1,0.0,0.1,2.9,1.0,0.3,0.2
22,Louisiana,LA,22017,Caddo Parish,22017,"Caddo Parish, Louisiana",879.467998168588,236259,0,112469,99,94475,1092,77376,3694,9102,1128,29684,1420,20456,1465,17322,1664,42364,83,55774,62,40538,1680,9215,1019,904,344,133452,491,10551,944,9492,859,2040,424,9764,816,4941,103,33.4,1.6,8.6,1.1,31.4,1.5,12.7,0.9,7.5,0.7,17.9,0.1,23.6,0.1,17.5,0.7,9.7,1.1,0.4,0.2,56.5,0.2,9.4,0.8,8.4,0.8,2.2,0.4,10.3,0.9,2.1,0.0,0.5556,0.7778,0.9365,0.2857,0.3492,2.9048,0.6667,0.6667,0.5079,0.5873,0.7143,0.2222,2.6984,0.6984,0.9048,0.9048,0.9048,0.9365,0.0794,0.4603,0.7937,0.4286,2.6985,0.6984,9.2065,0.7937,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,252522,19279,1100,116167,859,7200,0,2990,260,661,210,134,28,6034,984,266,158,20.4,1.2,49.2,0.4,3.0,0.0,1.3,0.1,0.3,0.1,0.1,0.1,2.6,0.4,0.1,0.1
22,Louisiana,LA,22019,Calcasieu Parish,22019,"Calcasieu Parish, Louisiana",1064.080928920772,210770,0,93431,86,76853,1220,53821,3592,5460,997,17022,1405,15808,1106,16159,1818,32328,251,52559,36,29355,1662,5542,733,1170,377,71107,605,5814,739,14639,1095,1771,324,4767,689,3156,123,25.9,1.7,5.6,1.0,22.1,1.8,11.3,0.8,7.7,0.9,15.3,0.1,24.9,0.1,14.1,0.8,7.2,0.9,0.6,0.2,33.7,0.3,6.2,0.8,15.7,1.2,2.3,0.4,6.2,0.9,1.5,0.1,0.2381,0.3016,0.4921,0.127,0.4444,1.6032,0.2222,0.254,0.746,0.1746,0.1905,0.381,1.7461,0.1111,0.254,0.254,0.254,0.873,0.2698,0.5397,0.2857,0.2698,2.238,0.3175,5.8413,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207648,12879,885,51769,917,8823,0,3092,249,347,171,56,70,6030,948,990,543,16.8,1.1,24.6,0.4,4.2,0.0,1.5,0.1,0.2,0.1,0.0,0.1,2.9,0.4,0.5,0.3
