TRACTFIPS,STATE,COUNTY,POPULATION,RISK_SCORE,RISK_RATNG,hurricane_risk,flood_risk,tornado_risk,my_risk_score,my_risk_rating,RPL_THEMES
22001960101,Louisiana,Acadia,3405,91.71978309470579,Relatively High,202503.73315332623,0.0,496.0175577526726,99.96974388033058,Relatively High,0.7896
22001960102,Louisiana,Acadia,2431,79.65442610474241,Relatively Moderate,93891.05297141265,0.0,246.05420341544604,99.96971482127776,Relatively Moderate,0.6305
22001960201,Louisiana,Acadia,3324,78.41887456595158,Relatively Moderate,173503.0152437246,0.0,3407.4156186598775,99.96971287242368,Relatively Moderate,0.1408
22001960202,Louisiana,Acadia,2502,79.06578509251771,Relatively Moderate,152656.35267420448,0.03716780049356216,4462.3484651267445,99.96971575226291,Relatively Moderate,0.0411
22001960300,Louisiana,Acadia,3518,85.12581458402701,Relatively Moderate,128974.90516606712,0.6264840676385305,5853.5714790102775,99.96970249004886,Relatively Low,0.1891
22001960401,Louisiana,Acadia,2246,79.60329163297342,Relatively Moderate,145227.35639827544,0.3883091902585746,1679.1766143423831,99.9697273485683,Relatively Moderate,0.2581
22001960402,Louisiana,Acadia,2133,76.96332588117774,Relatively Moderate,93782.81412916134,0.04772156709597509,1016.0370206648548,99.96972110204571,Relatively Moderate,0.6393
22001960403,Louisiana,Acadia,2258,73.74780002854017,Relatively Moderate,96760.37581569748,1.1721153161938875,2900.432316593482,99.96970399474722,Relatively Low,0.077
22001960501,Louisiana,Acadia,2866,75.37221138752794,Relatively Moderate,151466.12687257963,0.0,800.6901023654951,99.96973004696741,Relatively Moderate,0.6202
22001960502,Louisiana,Acadia,2025,73.45288493554676,Relatively Moderate,112433.2946480083,0.0,750.9815249599252,99.9697304991445,Relatively Moderate,0.5535
22001960503,Louisiana,Acadia,1264,55.99105741330922,Relatively Low,76824.18327101509,0.00259383207681964,666.2809921545677,99.9697225429162,Relatively Moderate,0.2229
22001960601,Louisiana,Acadia,1644,77.95866432003045,Relatively Moderate,108942.33630280825,0.0,340.9634202673687,99.96973836930484,Relatively Moderate,0.4817
22001960602,Louisiana,Acadia,3993,90.0882366931456,Relatively High,217714.59500798397,0.0,132.45103734616276,99.96973878342932,Relatively Moderate,0.8138
22001960700,Louisiana,Acadia,3728,96.51928839842078,Relatively High,230709.15844104998,0.00335842558618334,511.6528893675715,99.96975316182272,Relatively High,0.9443
22001960801,Louisiana,Acadia,3593,97.84402796936688,Very High,234187.77343108898,0.49662136842973287,254.07441633697442,99.96975870090019,Relatively High,0.9743
22001960802,Louisiana,Acadia,1321,68.60105598630072,Relatively Moderate,111762.24948056584,0.9926271670976098,260.0486015136642,99.9697313710182,Relatively Moderate,0.0374
22001960901,Louisiana,Acadia,3189,94.80093231222945,Relatively High,159439.56629516612,2.4408444613460873,92.95165097657005,99.96972908240343,Relatively Moderate,0.6877
22001960902,Louisiana,Acadia,1183,74.46725015459259,Relatively Moderate,44360.67498396952,1.1852026635460609,48.469071676582224,99.96971999166318,Relatively Moderate,0.8878
22001961000,Louisiana,Acadia,4607,98.77158350378157,Very High,315641.42647566384,3.4553920249653483,498.8778664148519,99.969754166563,Relatively High,0.7786
22001961100,Louisiana,Acadia,3117,96.62512486324502,Relatively High,122213.324946238,6.371648455535299,4902.261469403973,99.9697181658672,Relatively Moderate,0.7016
22001961200,Louisiana,Acadia,3128,89.82542929172811,Relatively High,163628.761380897,1.256000262929141,3788.942927137399,99.96971963438575,Relatively Moderate,0.3277
22003950100,Louisiana,Allen,4682,89.14760024734814,Relatively High,94325.32784238583,0.3871601690595931,15250.391642441153,99.96969331466914,Relatively Low,0.4164
22003950201,Louisiana,Allen,2574,73.2293202682776,Relatively Moderate,60664.479700972865,0.0,691.2324757293597,99.9696945420449,Relatively Low,0.379
22003950202,Louisiana,Allen,1951,22.758407458497835,Very Low,12820.902446209058,0.0,13.69254428697361,99.96967739213817,Relatively Low,0.0652
22003950300,Louisiana,Allen,2807,73.24002283213622,Relatively Moderate,40840.523032916964,0.0,67.72256542782756,99.96969167857343,Relatively Low,0.9501
