TRACTFIPS,STATE,COUNTY,POPULATION,RISK_SCORE,RISK_RATNG,hurricane_risk,flood_risk,tornado_risk,my_risk_score,my_risk_rating,RPL_THEMES
51001090101,Virginia,Accomack,1799,96.90101317604528,Relatively High,583833.305188578,9868854.316866934,1.3458586739334646,99.99432214880225,Very High,0.2087
51001090102,Virginia,Accomack,1545,98.91190600770585,Very High,888258.0871766397,11000263.331666656,0.8212854804629226,99.99994688209873,Very High,0.6076
51001090201,Virginia,Accomack,3990,93.87337677781477,Relatively High,962719.0040619866,881743.0092702383,9.266691537905722,99.98770196883069,Very High,0.5798
51001090202,Virginia,Accomack,3044,92.59501498358941,Relatively High,535872.150076524,121446.83496208308,18.99687908506097,99.98732677181785,Very High,0.7311
51001090300,Virginia,Accomack,2093,90.98487370974647,Relatively High,415920.04089175357,1489399.1475637946,34.48450004209747,99.98864562243493,Very High,0.7876
51001090401,Virginia,Accomack,2455,90.7648765637635,Relatively High,356808.04259032203,68128.61733206298,7.347557408708354,99.98728190779882,Very High,0.9135
51001090402,Virginia,Accomack,3281,93.36203206012462,Relatively High,371652.4982566525,225059.28649062,31.975285258032006,99.98731591560801,Very High,0.9986
51001090500,Virginia,Accomack,2721,89.35451648194835,Relatively High,503235.3428827297,209209.21228075022,34.54908325577968,99.98742540580935,Very High,0.7857
51001090600,Virginia,Accomack,3898,98.37083194596394,Very High,2230042.2881087936,3447244.2053092318,131.09853493002996,99.98969537108994,Very High,0.8019
51001090700,Virginia,Accomack,5178,97.0199305522523,Relatively High,777412.3723119564,583923.3662923502,153.49274512412103,99.98743740822242,Very High,0.8214
51001090800,Virginia,Accomack,3362,95.9175664748133,Relatively High,756942.4053986713,631101.210376095,157.10490253319395,99.98778050738412,Very High,0.9496
51001980100,Virginia,Accomack,1,0.254483185083004,Very Low,6318.207894868392,18507.132968061855,0.025035585817133117,100.0,Very High,0.0
51001980200,Virginia,Accomack,0,15.957522713218856,Very Low,49881.080456600794,6554.0064759505785,0.31120112835736774,40.69734459339037,Very Low,-999.0
51003010100,Virginia,Albemarle,5147,46.12923940446178,Relatively Low,11977.834602514671,0.0,1345.417697219991,99.98693676171413,Relatively Low,0.3036
51003010201,Virginia,Albemarle,5550,28.710222137658757,Relatively Low,10127.125031815041,0.0,247.16998104155894,99.98693562678751,Relatively Low,0.1509
51003010202,Virginia,Albemarle,3238,14.7540788660039,Very Low,8093.797864564116,0.0,147.5350725229195,99.98693618760606,Relatively Low,0.0541
51003010301,Virginia,Albemarle,1939,13.80630737763402,Very Low,4673.469126506467,0.0,11.798338092627153,99.98693800487655,Relatively Moderate,0.8177
51003010302,Virginia,Albemarle,1450,2.481805641440328,Very Low,2147.5550009695653,0.0,3.456637239066462,99.98693511189983,Very Low,0.1046
51003010303,Virginia,Albemarle,5685,38.15939685106788,Relatively Low,10604.57725981385,0.0,41.35937035265891,99.98693582363052,Relatively Low,0.2374
51003010401,Virginia,Albemarle,4194,41.34995005470199,Relatively Low,17880.179587895527,0.0,1994.2437952372334,99.98693928379764,Relatively Moderate,0.2443
51003010402,Virginia,Albemarle,3605,25.26042905389336,Very Low,15120.513472117083,0.0,290.0586282988865,99.98693828532005,Relatively Moderate,0.0986
51003010501,Virginia,Albemarle,2995,18.211006992341723,Very Low,8535.45945130279,0.0,50.72443054420189,99.98693657855301,Relatively Low,0.0602
51003010502,Virginia,Albemarle,3371,46.04599724111687,Relatively Low,14119.65492355349,0.0,20.477616887223096,99.98694088886492,Relatively Moderate,0.7001
